(carboplatin)||carboplatin||carboplatin
*carbamazepine||carbamazepine||carbamazepine
*carbamazepine||carbamazepin||carbamazepine
0.9% sodium chloride injection||chloride||chloride ion
0.9% sodium chloride injection||0.9% sodium chloride||sodium chloride
0.9% sodium chloride injection||chlor||chlorine
0.9% sodium chloride injection||sodium chloride||sodium chloride
20% mannitol injection||mannit||mannitol
20% mannitol injection||mannitol||mannitol
20% mannitol injection||mannitol injection||mannitol
minims prednisolone sodium phosphate||phosphate||sodium phosphate, monobasic, unspecified form
minims prednisolone sodium phosphate||prednisolone sodium phosphate||prednisolone phosphate
3% sodium chloride injection||chloride||chloride ion
gilenya (fingolimod)||gilenya||fingolimod
3% sodium chloride injection||3% sodium chloride||sodium chloride
minims prednisolone sodium phosphate||prednisolone||prednisolone
3% sodium chloride injection||chlor||chlorine
gilenya (fingolimod)||fingolimod||fingolimod
3% sodium chloride injection||sodium chloride||sodium chloride
gilenya (fingolimod) capsule||gilenya||fingolimod
minirinmelt||minirin||desmopressin
gilenya (fingolimod) capsule||fingolimod||fingolimod
405 (lanthanum carbonate)||carbonate||carbonate ion
405 (lanthanum carbonate)||carbon||activated charcoal
minocycline hcl||minocycline||minocycline
405 (lanthanum carbonate)||lanthanum carbonate||lanthanum carbonate
minocycline hcl||minocyclin||minocycline
gilenya (fty) capsule||gilenya||fingolimod
minocycline\minocycline hydrochloride||minocycline||minocycline
minocycline\minocycline hydrochloride||minocyclin||minocycline
422 (anagrelide)||anagrelide||anagrelide
minocycline\minocycline hydrochloride||hydro||ethanol
minocycline\minocycline hydrochloride||minocycline hydrochloride||minocycline
433 (carbamazepine)||carbamazepine||carbamazepine
433 (carbamazepine)||carbamazepin||carbamazepine
gilenya (fty)capsule||gilenya||fingolimod
489 (lisdexamfetamine dimesylate)||lisdexamfetamine||lisdexamfetamine
5 fluoro uracil||fluoro uracil||fluorouracil
revlimid (lenalidomide)||lenalidomide||lenalidomide
minoxidil (amallc)||minoxidil||minoxidil
5 fluoro uracil||uracil||uracil
revlimid (lenalidomide)||revlimid||lenalidomide
gimeracil;oteracil potassium;tegafur||gimeracil||gimeracil
5 fluorouracil||fluorouracil||fluorouracil
gimeracil;oteracil potassium;tegafur||tegafur||tegafur
cialis (tadalafil)||cialis||tadalafil
gimeracil;oteracil potassium;tegafur||oteracil||oteracil
cialis (tadalafil)||tadalafil||tadalafil
gimeracil;oteracil potassium;tegafur||potassium||potassium
5% dextrose injection||dextrose||dextrose, unspecified form
5% dextrose injection||5% dextrose||d-glucose
5% glucose  injection||glucose||dextrose, unspecified form
cibenzoline succinate||cibenzoline||cibenzoline
ciclofosfamida (120a)||ciclofosfamida||cyclophosphamide
5% sodium chloride injection||chloride||chloride ion
5% sodium chloride injection||chlor||chlorine
5% sodium chloride injection||sodium chloride||sodium chloride
revlimid (lenalidomide) (capsules)||lenalidomide||lenalidomide
ciclosporin (ciclosporin)||ciclosporin||cyclosporine
5-fluorouracil (5-fu)||fluorouracil||fluorouracil
miralax (macrogol)||miralax||polyethylene glycol
revlimid (lenalidomide) (capsules)||revlimid||lenalidomide
5-fluorouracil (5-fu)||5-fluorouracil||fluorouracil
miralax (macrogol)||macrogol||polyethylene glycol
ciclosporin a||ciclosporin||cyclosporine
5-fluorouracil [fluorouracil]||fluorouracil||fluorouracil
mirapex la||mirapex||pramipexole
5-fluorouracil [fluorouracil]||5-fluorouracil||fluorouracil
revolade tab||revolade||eltrombopag
mirena iud||mirena||levonorgestrel
5-fu (fluorouracil)||fluorouracil||fluorouracil
reyataz caps||reyataz||atazanavir
5-fu [fluorouracil]||fluorouracil||fluorouracil
mirtazapin actavis||mirtazapin||mirtazapine
reyataz caps 300 mg||reyataz||atazanavir
mirtazapine (mirtazapine)||mirtazapine||mirtazapine
503 (guanfacine hydrochloride)||guanfacine||guanfacine
mirtazapine (mirtazapine)||mirtazapin||mirtazapine
503 (guanfacine hydrochloride)||guanfacine hydrochloride||guanfacine
503 (guanfacine hydrochloride)||hydro||ethanol
mirtazapine (unknown)||mirtazapine||mirtazapine
mirtazapine (unknown)||mirtazapin||mirtazapine
mirtazapine 15mg||mirtazapine||mirtazapine
mirtazapine 15mg||mirtazapin||mirtazapine
5?fluorouracil||fluorouracil||fluorouracil
ginkgo extract\heptaminol\troxerutin||troxerutin||troxerutin
mirtazapine 30mg||mirtazapine||mirtazapine
mirtazapine 30mg||mirtazapin||mirtazapine
ginkgo extract\heptaminol\troxerutin||heptaminol||heptaminol
5?fluorouracil [fluorouracil]||fluorouracil||fluorouracil
cinacalcet hcl||cinacalcet||cinacalcet
mirtazapine film-coated tablet||mirtazapine||mirtazapine
mirtazapine film-coated tablet||mirtazapin||mirtazapine
mirtazapine hydrochloride||mirtazapine||mirtazapine
5?fu [fluorouracil]||fluorouracil||fluorouracil
mirtazapine hydrochloride||mirtazapin||mirtazapine
mirtazapine hydrochloride||hydro||ethanol
mirtazapine odt||mirtazapine||mirtazapine
mirtazapine odt||mirtazapin||mirtazapine
mirtazapine tablet||mirtazapine||mirtazapine
mirtazapine tablet||mirtazapin||mirtazapine
6 mercaptopurine||mercaptopurine||mercaptopurine
mirtazapine tablets 15 mg||mirtazapine||mirtazapine
mirtazapine tablets 15 mg||mirtazapin||mirtazapine
6-mercaptopurine monohydrate||6-mercaptopurine||mercaptopurine
6-mercaptopurine monohydrate||mercaptopurine||mercaptopurine
ginseng nos||ginseng||adenosine
6?mercaptopurine monohydrate||mercaptopurine||mercaptopurine
8-tetrahydrocannabinol||tetrahydrocannabinol||dronabinol
81 mg aspirin||aspirin||acetylsalicylic acid
cipramil [citalopram hydrobromide]||citalopram hydrobromide||citalopram
cipramil [citalopram hydrobromide]||hydro||ethanol
cipramil [citalopram hydrobromide]||citalopram||citalopram
9-tetrahydrocannabinol||tetrahydrocannabinol||dronabinol
mitiglinide calcium||calcium||calcium
mitiglinide calcium||mitiglinide||mitiglinide
mitomycin-c||mitomycin||mitomycin
cipro (ciprofloxacin)||cipro||benzyl alcohol
cipro (ciprofloxacin)||ciprofloxacin||ciprofloxacin
ciprobay||cipro||benzyl alcohol
mitoxantrone hcl||mitoxantrone||mitoxantrone
a?hydrocort||hydro||ethanol
ciprobay 500 mg||cipro||benzyl alcohol
ciproflaxin||cipro||benzyl alcohol
ciprofloxacin (ciprofloxacin)||cipro||benzyl alcohol
ciprofloxacin (ciprofloxacin)||ciprofloxacin||ciprofloxacin
mixed amphetamine salts||amphetamine||amphetamine
ciprofloxacin (manufacturer unknown)||cipro||benzyl alcohol
ciprofloxacin (manufacturer unknown)||ciprofloxacin||ciprofloxacin
ciprofloxacin 250 mg||cipro||benzyl alcohol
ciprofloxacin 250 mg||ciprofloxacin||ciprofloxacin
abacavir succinate||abacavir||abacavir
glatiramer acetate||acetate||acetate
ciprofloxacin betain||cipro||benzyl alcohol
ciprofloxacin betain||ciprofloxacin||ciprofloxacin
abacavir sulphate||abacavir||abacavir
ciprofloxacin extended-release||cipro||benzyl alcohol
ciprofloxacin extended-release||ciprofloxacin||ciprofloxacin
glatiramer acetate injection||acetate||acetate
ciprofloxacin extended-release||release||manganese
ciprofloxacin film-coated tablets||cipro||benzyl alcohol
ciprofloxacin film-coated tablets||ciprofloxacin||ciprofloxacin
ciprofloxacin hcl||cipro||benzyl alcohol
ciprofloxacin hcl||ciprofloxacin||ciprofloxacin
ciprofloxacin hydrochloride (unknown)||ciprofloxacin hydrochloride||ciprofloxacin
ciprofloxacin hydrochloride (unknown)||cipro||benzyl alcohol
ciprofloxacin hydrochloride (unknown)||ciprofloxacin||ciprofloxacin
ciprofloxacin hydrochloride (unknown)||hydro||ethanol
gleevec (imatinib)||imatinib||imatinib
gleevec (imatinib)||gleevec||imatinib
ciprofloxacin hydrochloride (watson laboratories)||ciprofloxacin hydrochloride||ciprofloxacin
ciprofloxacin hydrochloride (watson laboratories)||cipro||benzyl alcohol
ciprofloxacin hydrochloride (watson laboratories)||ciprofloxacin||ciprofloxacin
ribapak (ribavirin)||ribavirin||ribavirin
ciprofloxacin hydrochloride (watson laboratories)||hydro||ethanol
abilify (aripiprazole)||aripiprazol||aripiprazole
abilify (aripiprazole)||aripiprazole||aripiprazole
gleevec (imatinib) unknown||imatinib||imatinib
ciprofloxacin monohydrochloride||cipro||benzyl alcohol
