(carboplatin)||carboplatin
*carbamazepine||carbamazepine
0.9% sodium chloride injection||sodium chloride
20% mannitol injection||mannitol
3% sodium chloride injection||sodium chloride
gilenya (fingolimod)||fingolimod
gilenya (fingolimod) capsule||fingolimod
minirinmelt||desmopressin
minocycline hcl||minocycline
gilenya (fty) capsule||fingolimod
minocycline\minocycline hydrochloride||minocycline
422 (anagrelide)||anagrelide
433 (carbamazepine)||carbamazepine
gilenya (fty)capsule||fingolimod
489 (lisdexamfetamine dimesylate)||lisdexamfetamine
revlimid (lenalidomide)||lenalidomide
minoxidil (amallc)||minoxidil
5 fluorouracil||fluorouracil
cialis (tadalafil)||tadalafil
5% glucose  injection||dextrose, unspecified form
cibenzoline succinate||cibenzoline
ciclofosfamida (120a)||cyclophosphamide
5% sodium chloride injection||sodium chloride
revlimid (lenalidomide) (capsules)||lenalidomide
ciclosporin (ciclosporin)||cyclosporine
5-fluorouracil (5-fu)||fluorouracil
miralax (macrogol)||polyethylene glycol
ciclosporin a||cyclosporine
5-fluorouracil [fluorouracil]||fluorouracil
mirapex la||pramipexole
revolade tab||eltrombopag
mirena iud||levonorgestrel
5-fu (fluorouracil)||fluorouracil
reyataz caps||atazanavir
5-fu [fluorouracil]||fluorouracil
mirtazapin actavis||mirtazapine
reyataz caps 300 mg||atazanavir
mirtazapine (mirtazapine)||mirtazapine
503 (guanfacine hydrochloride)||guanfacine
mirtazapine (unknown)||mirtazapine
mirtazapine 15mg||mirtazapine
5?fluorouracil||fluorouracil
mirtazapine 30mg||mirtazapine
5?fluorouracil [fluorouracil]||fluorouracil
cinacalcet hcl||cinacalcet
mirtazapine film-coated tablet||mirtazapine
mirtazapine hydrochloride||mirtazapine
5?fu [fluorouracil]||fluorouracil
mirtazapine odt||mirtazapine
mirtazapine tablet||mirtazapine
6 mercaptopurine||mercaptopurine
mirtazapine tablets 15 mg||mirtazapine
6-mercaptopurine monohydrate||mercaptopurine
ginseng nos||adenosine
6?mercaptopurine monohydrate||mercaptopurine
8-tetrahydrocannabinol||dronabinol
81 mg aspirin||acetylsalicylic acid
cipramil [citalopram hydrobromide]||citalopram
9-tetrahydrocannabinol||dronabinol
mitomycin-c||mitomycin
ciprobay||benzyl alcohol
mitoxantrone hcl||mitoxantrone
ciprobay 500 mg||benzyl alcohol
